datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-11T14:18:00.768244,INX-24APR11-B5212,1.0,no,49,13.20005522121079
2024-04-11T14:18:00.823379,INX-24APR11-B5237,1.0,yes,14,4.2624388374083
2024-04-11T14:22:00.698083,INX-24APR11-B5162,10.0,yes,4,5.444512980621651
2024-04-11T14:22:00.751192,INX-24APR11-B5212,2.0,no,49,12.968405125614744
2024-04-11T14:22:00.807902,INX-24APR11-B5237,2.0,yes,13,4.1922453601995
2024-04-11T14:24:00.686437,INX-24APR11-B5162,2.0,yes,4,5.463261475045364
2024-04-11T14:25:00.703572,INX-24APR11-B5212,2.0,no,47,14.731993622123163
2024-04-11T14:25:00.760467,INX-24APR11-B5237,1.0,yes,14,2.54588062151403
2024-04-11T14:26:00.652879,INX-24APR11-B5212,1.0,no,45,15.870445495076154
2024-04-11T14:27:00.632691,INX-24APR11-B5187,2.0,yes,24,5.772852356351624
2024-04-11T14:27:00.690866,INX-24APR11-B5212,4.0,no,44,16.330659595784994
2024-04-11T14:30:00.660793,INX-24APR11-B5187,1.0,yes,25,3.7586944808551905
2024-04-11T14:30:00.724952,INX-24APR11-B5212,4.0,no,43,16.360974742343117
2024-04-11T14:30:00.781195,INX-24APR11-B5237,3.0,yes,15,4.650184575029861
2024-04-11T14:31:00.584701,INX-24APR11-B5187,1.0,yes,25,4.034255678134663
2024-04-11T14:31:00.635334,INX-24APR11-B5212,4.0,no,43,16.23610294950428
2024-04-11T14:31:00.694374,INX-24APR11-B5237,3.0,yes,15,4.371450185605376
2024-04-11T14:32:00.622356,INX-24APR11-B5187,1.0,yes,24,5.07625354044146
2024-04-11T14:32:00.688584,INX-24APR11-B5212,2.0,no,42,17.035188225671178
2024-04-11T14:32:00.743613,INX-24APR11-B5237,1.0,yes,15,4.318924110668124
2024-04-11T14:35:00.627855,INX-24APR11-B5187,1.0,yes,21,7.1523442366880445
2024-04-11T14:35:00.681431,INX-24APR11-B5212,2.0,no,40,18.109281757201217
2024-04-11T14:39:00.967537,INX-24APR11-B5187,2.0,yes,18,7.9375695660158065
2024-04-11T14:39:01.026441,INX-24APR11-B5212,2.0,no,39,17.774311380225754
2024-04-11T14:39:01.089854,INX-24APR11-B5237,1.0,yes,18,4.163995089418965
2024-04-11T14:43:00.582914,INX-24APR11-B5187,10.0,yes,18,9.345047126450261
2024-04-11T14:43:00.641864,INX-24APR11-B5212,10.0,no,37,19.028864483383266
2024-04-11T14:43:00.694589,INX-24APR11-B5237,2.0,yes,18,2.6031625769862003
2024-04-11T14:46:00.668332,INX-24APR11-B5187,1.0,yes,22,4.810271738857406
2024-04-11T14:46:00.732798,INX-24APR11-B5212,4.0,no,36,19.15226948517551
2024-04-11T14:46:00.787941,INX-24APR11-B5237,4.0,yes,14,6.9163030170594695
2024-04-11T14:47:00.614475,INX-24APR11-B5187,1.0,yes,21,5.803369733348276
2024-04-11T14:47:00.671825,INX-24APR11-B5212,3.0,no,37,17.88488506338691
2024-04-11T14:47:00.725563,INX-24APR11-B5237,3.0,yes,14,6.847962007601151
2024-04-11T14:49:00.588394,INX-24APR11-B5187,1.0,yes,25,4.503665322402718
2024-04-11T14:49:00.640778,INX-24APR11-B5212,2.0,no,38,17.042919286618506
2024-04-11T14:49:00.700022,INX-24APR11-B5237,3.0,yes,11,7.207843213261231
2024-04-11T14:50:00.704343,INX-24APR11-B5212,1.0,no,37,17.773426053142686
2024-04-11T14:50:00.761634,INX-24APR11-B5237,2.0,yes,10,8.109989899084354
2024-04-11T14:51:00.698697,INX-24APR11-B5212,1.0,no,37,18.048889267531663
2024-04-11T14:51:00.755416,INX-24APR11-B5237,2.0,yes,10,6.753545543559046
2024-04-11T14:52:00.658547,INX-24APR11-B5187,2.0,yes,24,6.836033314721661
2024-04-11T14:52:00.713458,INX-24APR11-B5212,4.0,no,36,18.70226782495987
2024-04-11T14:52:00.769071,INX-24APR11-B5237,5.0,yes,10,6.798809288378635
2024-04-11T14:56:01.075994,INX-24APR11-B5187,1.0,yes,27,6.992452525367504
2024-04-11T14:56:01.130979,INX-24APR11-B5212,3.0,no,38,17.09664051239873
2024-04-11T14:56:01.184680,INX-24APR11-B5237,3.0,yes,9,4.878607695141698
2024-04-11T14:58:00.599742,INX-24APR11-B5187,3.0,yes,23,9.700010332110573
2024-04-11T14:58:00.661118,INX-24APR11-B5212,3.0,no,36,17.770550436357667
2024-04-11T14:58:00.716882,INX-24APR11-B5237,3.0,yes,10,4.694498736966111
2024-04-11T15:05:00.642001,INX-24APR11-B5187,3.0,yes,27,7.649483484488776
2024-04-11T15:05:00.702288,INX-24APR11-B5212,5.0,no,36,16.564013222004256
2024-04-11T15:05:00.755428,INX-24APR11-B5237,9.0,yes,7,5.406891074647163
2024-04-11T15:07:00.624339,INX-24APR11-B5187,4.0,yes,21,7.5970066898861965
2024-04-11T15:07:00.677395,INX-24APR11-B5212,6.0,no,31,17.98491063785756
2024-04-11T15:07:00.733635,INX-24APR11-B5237,9.0,yes,9,7.544136946116282
2024-04-11T15:08:00.640700,INX-24APR11-B5187,1.0,yes,19,9.550593369127427
2024-04-11T15:08:00.693829,INX-24APR11-B5212,2.0,no,30,18.591608982025505
2024-04-11T15:08:00.746801,INX-24APR11-B5237,2.0,yes,10,6.369480024840211
2024-04-11T15:09:00.659094,INX-24APR11-B5187,2.0,yes,21,6.154527622965908
2024-04-11T15:09:00.729438,INX-24APR11-B5212,5.0,no,30,17.770306706849567
2024-04-11T15:09:00.782749,INX-24APR11-B5237,9.0,yes,9,8.274826654111962
2024-04-11T15:10:00.706392,INX-24APR11-B5212,1.0,no,30,17.348282833561463
2024-04-11T15:10:00.761774,INX-24APR11-B5237,3.0,yes,8,9.09434095171779
2024-04-11T15:12:00.616709,INX-24APR11-B5187,2.0,yes,24,4.593332234300423
2024-04-11T15:12:00.678785,INX-24APR11-B5212,5.0,no,31,16.02569751077892
2024-04-11T15:12:00.737486,INX-24APR11-B5237,13.0,yes,7,8.39214587767298
2024-04-11T15:14:00.693631,INX-24APR11-B5212,1.0,no,32,14.976807001222824
2024-04-11T15:14:00.750154,INX-24APR11-B5237,5.0,yes,5,8.52506315155162
2024-04-11T15:18:00.683226,INX-24APR11-B5212,1.0,no,31,16.901963615107846
2024-04-11T15:18:00.739340,INX-24APR11-B5237,4.0,yes,4,5.723588515828574
2024-04-11T15:20:00.641377,INX-24APR11-B5187,3.0,yes,31,3.067894686383859
2024-04-11T15:20:00.700668,INX-24APR11-B5212,10.0,no,35,11.4228391561239
2024-04-11T15:24:00.676495,INX-24APR11-B5187,4.0,yes,25,5.161771018086675
2024-04-11T15:24:00.737364,INX-24APR11-B5212,10.0,no,29,13.334070516023338
2024-04-11T15:24:00.793813,INX-24APR11-B5237,37.0,yes,4,6.588416155272828
2024-04-11T15:27:00.577002,INX-24APR11-B5187,6.0,yes,23,6.742481530777297
2024-04-11T15:27:00.634753,INX-24APR11-B5212,11.0,no,26,14.607349534822177
2024-04-11T15:28:00.568486,INX-24APR11-B5187,1.0,yes,29,1.5428874890597264
2024-04-11T15:28:00.624348,INX-24APR11-B5212,11.0,no,31,9.558007445059154
2024-04-11T15:31:00.663742,INX-24APR11-B5212,1.0,no,24,14.273147607838041
2024-04-11T15:31:00.720161,INX-24APR11-B5237,1.0,yes,4,4.1036878499388685
2024-04-11T15:32:00.903161,INX-24APR11-B5187,6.0,yes,20,8.646780266923056
2024-04-11T15:32:00.958145,INX-24APR11-B5212,9.0,no,23,14.30410355272501
2024-04-11T15:33:00.603597,INX-24APR11-B5187,1.0,yes,26,2.1229089690601626
2024-04-11T15:33:00.655573,INX-24APR11-B5212,4.0,no,28,8.431576956259583
2024-04-11T15:38:00.568514,INX-24APR11-B5187,3.0,yes,23,5.523541330687998
2024-04-11T15:38:00.624296,INX-24APR11-B5212,4.0,no,25,8.880940760819264
2024-04-11T15:41:00.660455,INX-24APR11-B5187,6.0,yes,15,10.970614576208146
2024-04-11T15:41:00.716045,INX-24APR11-B5212,5.0,no,18,12.338550081991134
2024-04-11T15:42:00.917102,INX-24APR11-B5187,31.0,yes,13,9.062591544177206
2024-04-11T15:42:00.992578,INX-24APR11-B5212,30.0,no,16,10.95615685833479
2024-04-11T15:43:00.574164,INX-24APR11-B5187,5.0,yes,17,3.36879491641373
2024-04-11T15:43:00.625603,INX-24APR11-B5212,10.0,no,18,7.127786693736876
2024-04-11T15:46:00.629986,INX-24APR11-B5187,63.0,yes,7,8.496864905224406
2024-04-11T15:46:00.686641,INX-24APR11-B5212,50.0,no,10,9.596253640120764
2024-04-11T15:47:00.877243,INX-24APR11-B5187,7.0,yes,11,1.0204789538290662
2024-04-11T15:47:00.938468,INX-24APR11-B5212,32.0,no,12,4.606146330918435
2024-04-11T15:48:00.585504,INX-24APR11-B5187,2.0,yes,11,3.2237620561298552
2024-04-11T15:48:00.642850,INX-24APR11-B5212,2.0,no,13,4.065382827948628
