datetime,market,ev,bid,ask
2024-04-16T11:15:01.620713,INX-24APR16-B5112,-1.6577550368243745,7,8
2024-04-16T11:16:01.610093,INX-24APR16-T5000,-4.501876517349315,11,12
2024-04-16T11:16:01.610350,INX-24APR16-B5012,1.7782025135937527,12,14
2024-04-16T11:16:01.610531,INX-24APR16-B5037,4.932880165952632,20,21
2024-04-16T11:16:01.610685,INX-24APR16-B5062,1.2788411517463842,24,25
2024-04-16T11:16:01.610830,INX-24APR16-B5087,-2.581634769375725,18,19
2024-04-16T11:16:01.610983,INX-24APR16-B5112,-1.6786158312209132,7,8
2024-04-16T11:17:01.707689,INX-24APR16-T5000,-3.577660995352738,9,11
2024-04-16T11:17:01.708219,INX-24APR16-B5012,2.72815833667876,11,13
2024-04-16T11:17:01.708654,INX-24APR16-B5037,5.944280443811774,19,20
2024-04-16T11:17:01.709070,INX-24APR16-B5062,1.3424464708172863,24,25
2024-04-16T11:17:01.709479,INX-24APR16-B5087,-4.536267986375844,19,21
2024-04-16T11:17:01.709880,INX-24APR16-B5112,-2.6693771006789744,8,9
2024-04-16T11:18:01.704073,INX-24APR16-T5000,-3.925097829982871,9,10
2024-04-16T11:18:01.704628,INX-24APR16-B5012,1.0795629612912006,11,13
2024-04-16T11:18:01.705070,INX-24APR16-B5037,4.925772184798845,19,20
2024-04-16T11:18:01.705484,INX-24APR16-B5062,1.1158746793311103,24,26
2024-04-16T11:18:01.705880,INX-24APR16-B5087,-2.871862443568755,19,21
2024-04-16T11:18:01.706275,INX-24APR16-B5112,-1.5551982165671134,8,9
2024-04-16T11:19:02.001742,INX-24APR16-T5000,-5.114080550532678,10,11
2024-04-16T11:19:02.002290,INX-24APR16-B5012,0.8595381413492671,12,13
2024-04-16T11:19:02.002715,INX-24APR16-B5037,3.8064993463810275,19,21
2024-04-16T11:19:02.003122,INX-24APR16-B5062,2.2376240012431943,24,25
2024-04-16T11:19:02.003512,INX-24APR16-B5087,-0.6513654104077276,18,19
2024-04-16T11:19:02.003898,INX-24APR16-B5112,-1.419700789924697,8,9
2024-04-16T11:20:01.853958,INX-24APR16-T5000,-5.259555818454236,10,12
2024-04-16T11:20:01.854494,INX-24APR16-B5012,2.0155598734212035,12,13
2024-04-16T11:20:01.854816,INX-24APR16-B5037,5.635137981354827,19,20
2024-04-16T11:20:01.855131,INX-24APR16-B5062,0.8044703446205723,24,26
2024-04-16T11:20:01.855384,INX-24APR16-B5087,-1.833673797977415,18,19
2024-04-16T11:20:01.855714,INX-24APR16-B5112,-2.2696371483914266,8,9
2024-04-16T11:28:23.799749,INX-24APR16-T5000,-3.9967595788639407,8,9
2024-04-16T11:28:23.800279,INX-24APR16-B5012,0.7764927691866514,10,12
2024-04-16T11:28:23.800700,INX-24APR16-B5037,4.179047507653177,18,20
2024-04-16T11:28:23.801108,INX-24APR16-B5062,1.8092940098835122,25,26
2024-04-16T11:28:23.801502,INX-24APR16-B5087,-2.558339325343841,20,22
2024-04-16T11:28:23.801897,INX-24APR16-B5112,-1.7416472397921794,9,10
2024-04-16T11:50:06.397208,INX-24APR16-T5000,-4.7964457349529805,7,8
2024-04-16T11:50:06.397755,INX-24APR16-B5012,-0.5268626533158205,10,11
2024-04-16T11:50:06.398081,INX-24APR16-B5037,3.087327623826031,18,20
2024-04-16T11:50:06.398503,INX-24APR16-B5062,3.4605328074421067,25,26
2024-04-16T11:50:06.398890,INX-24APR16-B5087,-1.2310055419238815,21,23
2024-04-16T11:50:06.400826,INX-24APR16-B5112,-1.6896081705796284,10,11
2024-04-16T11:51:01.754188,INX-24APR16-T5000,-3.406484626951125,6,7
2024-04-16T11:51:01.754889,INX-24APR16-B5012,1.2817194381044015,9,10
2024-04-16T11:51:01.755573,INX-24APR16-B5037,4.962903085495103,18,19
2024-04-16T11:51:01.755993,INX-24APR16-B5062,3.406919774037828,25,26
2024-04-16T11:51:01.756286,INX-24APR16-B5087,-3.143456501604792,22,24
2024-04-16T11:51:01.756578,INX-24APR16-B5112,-3.4554374954128733,11,12
2024-04-16T11:52:02.830865,INX-24APR16-T5000,-4.006201035978682,6,7
2024-04-16T11:52:02.831422,INX-24APR16-B5012,1.0986763084756834,8,9
2024-04-16T11:52:02.831836,INX-24APR16-B5037,3.7667532390093967,17,19
2024-04-16T11:52:02.832241,INX-24APR16-B5062,3.5887939358039027,25,26
2024-04-16T11:52:02.832631,INX-24APR16-B5087,-1.82213723972351,23,24
2024-04-16T11:52:02.833025,INX-24APR16-B5112,-3.417381577541933,11,13
2024-04-16T11:53:01.616906,INX-24APR16-T5000,-4.164872386290812,5,7
2024-04-16T11:53:01.617448,INX-24APR16-B5012,0.787878015449845,8,9
2024-04-16T11:53:01.617882,INX-24APR16-B5037,4.460839089752266,17,18
2024-04-16T11:53:01.618292,INX-24APR16-B5062,3.6500215460338907,25,26
2024-04-16T11:53:01.618693,INX-24APR16-B5087,-1.4744694330410582,23,24
2024-04-16T11:53:01.619079,INX-24APR16-B5112,-3.1556150030319525,12,13
2024-04-16T11:54:01.640083,INX-24APR16-T5000,-3.492035133240894,5,6
2024-04-16T11:54:01.640633,INX-24APR16-B5012,0.07969578193182159,8,9
2024-04-16T11:54:01.641067,INX-24APR16-B5037,3.6643330575344777,17,18
2024-04-16T11:54:01.641479,INX-24APR16-B5062,3.6704802744189813,25,26
2024-04-16T11:54:01.641861,INX-24APR16-B5087,-1.6640378327083205,23,25
2024-04-16T11:54:01.642238,INX-24APR16-B5112,-3.4638314092503055,13,14
2024-04-16T11:55:02.060706,INX-24APR16-T5000,-3.5154463251213857,4,6
2024-04-16T11:55:02.060938,INX-24APR16-B5012,1.0553876971985297,7,8
2024-04-16T11:55:02.061118,INX-24APR16-B5037,4.679867897638438,15,17
2024-04-16T11:55:02.061280,INX-24APR16-B5062,3.7281962166130356,25,26
2024-04-16T11:55:02.061440,INX-24APR16-B5087,-1.6405311638349467,24,25
2024-04-16T11:55:02.061598,INX-24APR16-B5112,-5.485922906204241,14,16
2024-04-16T11:55:02.061754,INX-24APR16-B5137,-1.2925482572733147,3,4
2024-04-16T11:56:01.899028,INX-24APR16-T5000,-4.179294154360818,5,6
2024-04-16T11:56:01.899564,INX-24APR16-B5012,-0.5854058107836737,7,8
2024-04-16T11:56:01.900000,INX-24APR16-B5037,2.525816332775314,15,17
2024-04-16T11:56:01.900292,INX-24APR16-B5062,3.381757198690128,25,26
2024-04-16T11:56:01.900588,INX-24APR16-B5087,0.2801617329329922,24,25
2024-04-16T11:56:01.900863,INX-24APR16-B5112,-3.566063141380912,14,16
2024-04-16T11:56:01.901135,INX-24APR16-B5137,-0.5079543647880178,3,4
2024-04-16T11:57:01.909863,INX-24APR16-T5000,-4.216021446049114,5,6
2024-04-16T11:57:01.910401,INX-24APR16-B5012,-0.6593196229658229,7,8
2024-04-16T11:57:01.910832,INX-24APR16-B5037,2.461479738003355,16,17
2024-04-16T11:57:01.911247,INX-24APR16-B5062,3.417471281680786,25,26
2024-04-16T11:57:01.911649,INX-24APR16-B5087,0.36986366615282407,24,25
2024-04-16T11:57:01.912035,INX-24APR16-B5112,-2.5201944562735363,14,15
2024-04-16T11:57:01.912415,INX-24APR16-B5137,-0.5022860269303395,3,4
2024-04-16T11:58:01.849443,INX-24APR16-T5000,-5.234971745217142,6,7
2024-04-16T11:58:01.849994,INX-24APR16-B5012,-1.6854038080691334,8,9
2024-04-16T11:58:01.850412,INX-24APR16-B5037,1.4668793189831142,17,18
2024-04-16T11:58:01.850811,INX-24APR16-B5062,3.473416898334115,25,26
2024-04-16T11:58:01.851206,INX-24APR16-B5087,0.4033453786276944,24,25
2024-04-16T11:58:01.851599,INX-24APR16-B5112,-1.5385246478812888,12,14
2024-04-16T11:58:01.851998,INX-24APR16-B5137,-0.5248924648503093,2,4
2024-04-16T11:59:01.895943,INX-24APR16-T5000,-6.058997932640391,6,8
2024-04-16T11:59:01.896254,INX-24APR16-B5012,-2.1830754792135663,9,10
2024-04-16T11:59:01.896672,INX-24APR16-B5037,2.2319068369017963,17,18
2024-04-16T11:59:01.897079,INX-24APR16-B5062,3.7250667269061424,25,26
2024-04-16T11:59:01.897475,INX-24APR16-B5087,-0.1929878600470012,24,25
2024-04-16T11:59:01.897857,INX-24APR16-B5112,-1.244027763165855,11,13
2024-04-16T11:59:01.898281,INX-24APR16-B5137,-0.8402781427384007,3,4
2024-04-16T12:00:01.743271,INX-24APR16-T5000,-6.238866168711255,8,9
2024-04-16T12:00:01.743811,INX-24APR16-B5012,-1.148515918783465,10,11
2024-04-16T12:00:01.744235,INX-24APR16-B5037,3.862134745309554,18,19
2024-04-16T12:00:01.744639,INX-24APR16-B5062,4.055815849954122,25,26
2024-04-16T12:00:01.745025,INX-24APR16-B5087,0.394430534306764,21,22
2024-04-16T12:00:01.745404,INX-24APR16-B5112,-1.5477976123411405,10,11
2024-04-16T12:01:01.730570,INX-24APR16-T5000,-8.264213669771115,9,11
2024-04-16T12:01:01.731092,INX-24APR16-B5012,-2.17266589471037,11,12
2024-04-16T12:01:01.731523,INX-24APR16-B5037,2.882673617307109,19,20
2024-04-16T12:01:01.731932,INX-24APR16-B5062,4.115550482971521,25,26
2024-04-16T12:01:01.732323,INX-24APR16-B5087,1.4127067195565317,19,21
